asseoir assoir assieds assois assieds assois assied assoit asseyons assoyons asseyez assoyez asseyent assoient asseyais assoyais asseyais assoyais asseyait assoyait asseyions assoyions asseyiez assoyiez asseyaient assoyaient assiérai asseyerai assoirai assiéras asseyeras assoiras assiéra asseyera assoira assiérons asseyerons assoirons assiérez asseyerez assoirez assiéront asseyeront assoiront assis assis assit assîmes assîtes assirent assiérais asseyerais assoirais assiérais asseyerais assoirais assiérait asseyerait assoirait assiérions asseyerions assoirions assiériez asseyeriez assoiriez assiéraient asseyeraient assoiraient asseye assoie asseyes assoies asseye assoie asseyions assoyions asseyiez assoyiez asseyent assoient assisse assisses assît assissions assissiez assissent assieds assois asseyons assoyons asseyez assoyez asseyant assoyant assis assis assise assises 
assister assiste assistes assiste assistons assistez assistent assistais assistais assistait assistions assistiez assistaient assisterai assisteras assistera assisterons assisterez assisteront assistai assistas assista assistâmes assistâtes assistèrent assisterais assisterais assisterait assisterions assisteriez assisteraient assiste assistes assiste assistions assistiez assistent assistasse assistasses assistât assistassions assistassiez assistassent assiste assistons assistez assistant assisté assistés assistée assistées 
assurer assure assures assure assurons assurez assurent assurais assurais assurait assurions assuriez assuraient assurerai assureras assurera assurerons assurerez assureront assurai assuras assura assurâmes assurâtes assurèrent assurerais assurerais assurerait assurerions assureriez assureraient assure assures assure assurions assuriez assurent assurasse assurasses assurât assurassions assurassiez assurassent assure assurons assurez assurant assuré assurés assurée assurées 
attacher attache attaches attache attachons attachez attachent attachais attachais attachait attachions attachiez attachaient attacherai attacheras attachera attacherons attacherez attacheront attachai attachas attacha attachâmes attachâtes attachèrent attacherais attacherais attacherait attacherions attacheriez attacheraient attache attaches attache attachions attachiez attachent attachasse attachasses attachât attachassions attachassiez attachassent attache attachons attachez attachant attaché attachés attachée attachées 
attaquer attaque attaques attaque attaquons attaquez attaquent attaquais attaquais attaquait attaquions attaquiez attaquaient attaquerai attaqueras attaquera attaquerons attaquerez attaqueront attaquai attaquas attaqua attaquâmes attaquâtes attaquèrent attaquerais attaquerais attaquerait attaquerions attaqueriez attaqueraient attaque attaques attaque attaquions attaquiez attaquent attaquasse attaquasses attaquât attaquassions attaquassiez attaquassent attaque attaquons attaquez attaquant attaqué attaqués attaquée attaquées 
atteindre atteins atteins atteint atteignons atteignez atteignent atteignais atteignais atteignait atteignions atteigniez atteignaient atteindrai atteindras atteindra atteindrons atteindrez atteindront atteignis atteignis atteignit atteignîmes atteignîtes atteignirent atteindrais atteindrais atteindrait atteindrions atteindriez atteindraient atteigne atteignes atteigne atteignions atteigniez atteignent atteignisse atteignisses atteignît atteignissions atteignissiez atteignissent atteins atteignons atteignez atteignant atteint atteints atteinte atteintes 
attendre attends attends attend attendons attendez attendent attendais attendais attendait attendions attendiez attendaient attendrai attendras attendra attendrons attendrez attendront attendis attendis attendit attendîmes attendîtes attendirent attendrais attendrais attendrait attendrions attendriez attendraient attende attendes attende attendions attendiez attendent attendisse attendisses attendît attendissions attendissiez attendissent attends attendons attendez attendant attendu attendus attendue attendues 
attirer attire attires attire attirons attirez attirent attirais attirais attirait attirions attiriez attiraient attirerai attireras attirera attirerons attirerez attireront attirai attiras attira attirâmes attirâtes attirèrent attirerais attirerais attirerait attirerions attireriez attireraient attire attires attire attirions attiriez attirent attirasse attirasses attirât attirassions attirassiez attirassent attire attirons attirez attirant attiré attirés attirée attirées 
avancer avance avances avance avançons avancez avancent avançais avançais avançait avancions avanciez avançaient avancerai avanceras avancera avancerons avancerez avanceront avançai avanças avança avançâmes avançâtes avancèrent avancerais avancerais avancerait avancerions avanceriez avanceraient avance avances avance avancions avanciez avancent avançasse avançasses avançât avançassions avançassiez avançassent avance avançons avancez avançant avancé avancés avancée avancées 
avoir ai as a avons avez ont avais avais avait avions aviez avaient aurai auras aura aurons aurez auront eus eus eut eûmes eûtes eurent aurais aurais aurait aurions auriez auraient aie aies ait ayons ayez aient eusse eusses eût eussions eussiez eussent aie ayons ayez ayant eu eus eue eues 
